QUERY,REFERENCE,ANI_ESTIMATE
O.pituitosum NV9,P.saccharolyticum CCUG33852,77.5564
O.pituitosum NV9,P.saccharolyticum DSM25260,77.5571
P.saccharolyticum DSM25260,O.pituitosum NV9,77.5934
P.saccharolyticum DSM25260,O.pituitosum PH15,77.5965
Pseudochrobactrum IV4,B.pituitosa BU72,77.6148
P.saccharolyticum CCUG33852,O.pituitosum NV9,77.6243
P.saccharolyticum CCUG33852,O.pituitosum PH15,77.6272
P.saccharolyticum DSM25260,O.pituitosum IV11,77.6331
P.saccharolyticum DSM25260,O.pituitosum CCUG50899,77.6428
P.saccharolyticum DSM25260,O.pituitosum PH4,77.65
P.saccharolyticum DSM25260,O.pituitosum NH1,77.6545
P.saccharolyticum DSM25260,B.pituitosa BU72,77.6575
O.pituitosum PH4,P.saccharolyticum DSM25260,77.6628
Pseudochrobactrum IV4,O.pituitosum IV11,77.666
P.saccharolyticum CCUG33852,O.pituitosum NH1,77.6827
O.pituitosum IV11,P.saccharolyticum DSM25260,77.6869
O.pituitosum IV11,Pseudochrobactrum NH11,77.687
P.saccharolyticum CCUG33852,O.pituitosum IV11,77.6927
O.pituitosum NH1,P.saccharolyticum DSM25260,77.6982
B.pituitosa BU72,P.saccharolyticum DSM25260,77.7082
O.pituitosum PH4,P.saccharolyticum CCUG33852,77.72
B.pituitosa BU72,Pseudochrobactrum NH11,77.7227
P.saccharolyticum CCUG33852,B.pituitosa BU72,77.7238
O.pituitosum IV11,P.saccharolyticum CCUG33852,77.7345
O.pituitosum CCUG50899,P.saccharolyticum DSM25260,77.7393
O.pituitosum NH1,P.saccharolyticum CCUG33852,77.7447
O.pituitosum PH15,P.saccharolyticum DSM25260,77.7483
Pseudochrobactrum NH11,O.pituitosum CCUG50899,77.7538
B.pituitosa BU72,Pseudochrobactrum IV4,77.7613
B.pituitosa BU72,P.saccharolyticum CCUG33852,77.7657
O.pituitosum CCUG50899,P.saccharolyticum CCUG33852,77.7897
P.saccharolyticum CCUG33852,O.pituitosum CCUG50899,77.8055
P.saccharolyticum CCUG33852,O.pituitosum PH4,77.8086
O.pituitosum PH4,Pseudochrobactrum IV4,77.812
Pseudochrobactrum NH11,B.pituitosa BU72,77.8143
O.pituitosum PH15,P.saccharolyticum CCUG33852,77.8224
O.pituitosum PH4,Pseudochrobactrum PH5,77.8335
B.pituitosa BU72,Pseudochrobactrum PH5,77.8382
Pseudochrobactrum IV4,O.pituitosum NH1,77.8428
Pseudochrobactrum NH11,O.pituitosum IV11,77.8508
Pseudochrobactrum IV4,O.pituitosum PH4,77.8561
O.pituitosum NV9,Pseudochrobactrum NH11,77.8864
O.pituitosum PH4,Pseudochrobactrum NH11,77.8956
O.pituitosum NV9,Pseudochrobactrum IV4,77.9136
O.pituitosum NH1,Pseudochrobactrum NH11,77.9164
Pseudochrobactrum NH11,O.pituitosum NV9,77.9248
